iter	Passed	Remaining
400	31281	46727
401	31361	46652
402	31424	46552
403	31527	46511
404	31595	46418
405	31681	46351
406	31750	46260
407	31834	46191
408	31903	46099
409	31979	46019
410	32043	45921
411	32118	45838
412	32183	45742
413	32266	45672
414	32349	45600
415	32516	45647
416	32581	45551
417	32667	45483
418	32734	45390
419	32823	45328
420	32894	45239
421	32974	45164
422	33038	45066
423	33114	44986
424	33184	44896
425	33265	44823
426	33328	44724
427	33412	44653
428	33475	44556
429	33582	44516
430	33646	44419
431	33758	44385
432	33824	44292
433	33914	44229
434	33977	44131
435	34099	44110
436	34164	44015
437	34241	43935
438	34310	43845
439	34395	43775
440	34456	43676
441	34540	43604
442	34610	43517
443	34693	43445
444	34758	43350
445	34849	43288
446	34916	43196
447	34993	43117
448	35056	43020
449	35133	42940
450	35197	42846
451	35279	42772
452	35342	42676
453	35427	42606
454	35491	42511
455	35557	42419
456	35645	42352
457	35709	42258
458	35795	42190
459	35865	42103
460	35951	42034
461	36014	41939
462	36091	41860
463	36155	41766
464	36231	41685
465	36296	41592
466	36376	41517
467	36440	41423
468	36525	41353
469	36590	41261
470	36725	41247
471	36798	41164
472	36891	41102
473	36956	41010
474	37059	40960
475	37123	40866
476	37198	40785
477	37262	40692
478	37343	40617
479	37411	40529
480	37514	40478
481	37580	40387
482	37666	40318
483	37730	40224
484	37855	40197
485	37922	40107
486	38009	40038
487	38072	39945
488	38148	39865
489	38212	39772
490	38307	39712
491	38370	39618
492	38493	39586
493	38555	39491
494	38692	39474
495	38755	39380
496	38839	39308
497	38913	39225
498	38988	39144
499	39050	39050
500	39147	38991
501	39211	38899
502	39298	38829
503	39361	38736
504	39445	38664
505	39510	38573
506	39598	38505
507	39662	38413
508	39745	38339
509	39810	38249
510	39905	38187
511	39978	38104
512	40067	38036
513	40138	37952
514	40228	37884
515	40296	37797
516	40402	37745
517	40465	37653
518	40547	37578
519	40610	37487
520	40748	37463
521	40814	37374
522	40912	37314
523	40979	37225
524	41052	37142
525	41116	37051
526	41192	36971
527	41257	36882
528	41391	36852
529	41455	36761
530	41576	36722
531	41645	36635
532	41735	36567
533	41799	36476
534	41905	36422
535	41967	36329
536	42043	36249
537	42105	36157
538	42182	36078
539	42246	35987
540	42404	35976
541	42488	35903
542	42576	35833
543	42639	35741
544	42775	35711
545	42837	35619
546	42923	35547
547	42990	35459
548	43114	35418
549	43175	35325
550	43285	35272
551	43350	35182
552	43434	35108
553	43496	35017
554	43645	34994
555	43708	34904
556	43824	34855
557	43888	34764
558	43992	34706
559	44055	34615
560	44131	34534
561	44195	34444
562	44328	34407
563	44391	34316
564	44473	34240
565	44538	34151
566	44653	34100
567	44717	34010
568	44844	33968
569	44911	33880
570	44991	33802
571	45080	33731
572	45143	33641
573	45217	33558
574	45280	33468
575	45360	33390
576	45425	33301
577	45510	33227
578	45575	33138
579	45658	33062
580	45721	32972
581	45846	32927
582	45908	32836
583	46006	32772
584	46074	32685
585	46154	32607
586	46217	32517
587	46292	32436
588	46356	32346
589	46435	32268
590	46500	32180
591	46585	32106
592	46649	32017
593	46731	31940
594	46793	31851
595	46881	31778
596	46967	31704
597	47036	31619
598	47126	31548
599	47194	31463
600	47307	31407
601	47371	31318
602	47454	31242
603	47519	31155
604	47637	31102
605	47699	31012
606	47830	30967
607	47892	30878
608	48002	30819
609	48073	30735
610	48166	30666
611	48231	30578
612	48309	30498
613	48372	30410
614	48448	30329
615	48512	30241
616	48598	30167
617	48663	30079
618	48745	30003
619	48809	29915
620	48905	29847
621	48973	29762
622	49060	29688
623	49130	29604
624	49205	29523
625	49272	29437
626	49347	29356
627	49409	29268
628	49490	29190
629	49555	29103
630	49639	29028
631	49701	28940
632	49785	28864
633	49847	28776
634	49932	28701
635	50003	28618
636	50086	28542
637	50152	28456
638	50271	28400
639	50335	28313
640	50413	28234
641	50478	28148
642	50558	28070
643	50621	27983
644	50705	27907
645	50768	27820
646	50852	27744
647	50916	27658
648	51003	27584
649	51076	27502
650	51163	27428
651	51227	27342
652	51304	27263
653	51368	27176
654	51442	27095
655	51507	27009
656	51587	26932
657	51652	26846
658	51716	26760
659	51800	26685
660	51867	26600
661	51952	26525
662	52022	26442
663	52117	26372
664	52183	26287
665	52260	26208
666	52325	26123
667	52406	26046
668	52469	25960
669	52585	25900
670	52648	25814
671	52756	25750
672	52830	25669
673	52969	25620
674	53041	25538
675	53137	25468
676	53208	25386
677	53275	25301
678	53355	25224
679	53421	25139
680	53505	25063
681	53569	24978
682	53651	24901
683	53713	24815
684	53809	24744
685	53894	24669
686	53967	24587
687	54065	24518
688	54132	24434
689	54215	24357
690	54281	24273
691	54359	24194
692	54425	24110
693	54512	24035
694	54576	23950
695	54641	23866
696	54745	23798
697	54807	23713
698	54889	23636
699	54954	23551
700	55040	23476
701	55111	23394
702	55179	23311
703	55256	23232
704	55319	23148
705	55424	23080
706	55487	22995
707	55562	22915
708	55650	22841
709	55722	22759
710	55819	22689
711	55894	22608
712	55978	22532
713	56048	22450
714	56158	22384
715	56222	22300
716	56316	22227
717	56379	22143
718	56442	22058
719	56519	21979
720	56583	21895
721	56647	21811
722	56729	21734
723	56791	21649
724	56896	21581
725	56960	21497
726	57041	21420
727	57131	21345
728	57201	21264
729	57270	21182
730	57346	21102
731	57408	21018
732	57485	20939
733	57550	20856
734	57633	20779
735	57698	20696
736	57781	20619
737	57845	20535
738	57953	20468
739	58017	20384
740	58084	20302
741	58185	20231
742	58250	20148
743	58325	20068
744	58386	19984
745	58483	19912
746	58546	19828
747	58632	19753
748	58697	19670
749	58792	19597
750	58856	19514
751	58987	19453
752	59055	19371
753	59153	19299
754	59217	19216
755	59295	19137
756	59358	19054
757	59432	18974
758	59497	18891
759	59581	18815
760	59646	18732
761	59798	18677
762	59865	18595
763	59928	18511
764	60015	18436
765	60081	18353
766	60167	18277
767	60233	18195
768	60308	18116
769	60370	18032
770	60440	17951
771	60516	17872
772	60580	17790
773	60663	17713
774	60731	17631
775	60816	17555
776	60884	17473
777	60968	17397
778	61034	17315
779	61103	17234
780	61191	17158
781	61255	17076
782	61319	16994
783	61396	16915
784	61462	16833
785	61539	16754
786	61604	16673
787	61686	16595
788	61751	16514
789	61837	16437
790	61906	16357
791	61974	16276
792	62065	16201
793	62135	16120
794	62220	16044
795	62286	15962
796	62369	15885
797	62438	15805
798	62527	15729
799	62650	15662
800	62712	15580
801	62792	15502
802	62856	15420
803	62938	15343
804	63005	15262
805	63100	15187
806	63171	15108
807	63272	15035
808	63340	14954
809	63418	14876
810	63483	14794
811	63565	14717
812	63630	14635
813	63746	14566
814	63814	14485
815	63903	14409
816	63968	14328
817	64035	14247
818	64126	14172
819	64196	14091
820	64292	14017
821	64359	13936
822	64443	13859
823	64510	13778
824	64612	13705
825	64674	13624
826	64755	13546
827	64843	13469
828	64943	13395
829	65028	13319
830	65103	13240
831	65193	13164
832	65266	13084
833	65352	13007
834	65421	12927
835	65486	12846
836	65564	12768
837	65632	12687
838	65744	12615
839	65807	12534
840	65889	12457
841	65970	12379
842	66034	12298
843	66118	12220
844	66198	12142
845	66293	12067
846	66356	11986
847	66436	11908
848	66503	11828
849	66589	11751
850	66652	11670
851	66790	11602
852	66853	11520
853	66970	11449
854	67033	11368
855	67094	11286
856	67180	11209
857	67256	11130
858	67350	11055
859	67414	10974
860	67488	10895
861	67556	10815
862	67625	10735
863	67702	10656
864	67766	10576
865	67835	10496
866	67954	10424
867	68017	10343
868	68100	10265
869	68194	10190
870	68264	10110
871	68405	10041
872	68468	9960
873	68548	9882
874	68613	9801
875	68701	9724
876	68775	9645
877	68839	9565
878	68904	9485
879	69024	9412
880	69088	9332
881	69228	9261
882	69298	9182
883	69385	9104
884	69456	9025
885	69556	8949
886	69622	8869
887	69704	8791
888	69781	8712
889	69844	8632
890	69921	8553
891	70001	8475
892	70066	8395
893	70151	8317
894	70222	8238
895	70312	8161
896	70377	8081
897	70493	8007
898	70556	7926
899	70635	7848
900	70700	7768
901	70780	7690
902	70845	7610
903	70927	7532
904	71010	7454
905	71072	7373
906	71135	7293
907	71252	7219
908	71321	7140
909	71432	7064
910	71495	6984
911	71574	6906
912	71637	6826
913	71717	6748
914	71792	6669
915	71855	6589
