iter	RMSE
178	0.485518195
179	0.4835453234
180	0.480864322
181	0.4783591237
182	0.4749424276
183	0.4708283338
184	0.4690729955
185	0.4661669111
186	0.4626300966
187	0.4602631459
188	0.4572775072
189	0.4547794183
190	0.451485043
191	0.4479719638
192	0.445041022
193	0.4413699399
194	0.4380832471
195	0.435328404
196	0.4325502675
197	0.430271419
198	0.4277521252
199	0.4245158733
200	0.4215216863
201	0.4190712838
202	0.4165234574
203	0.414195062
204	0.410639159
205	0.4083901636
206	0.406205121
207	0.4037702472
208	0.4019924151
209	0.3987485227
210	0.3962851948
211	0.3933915966
212	0.391205252
213	0.3886497912
214	0.3866520193
215	0.3843144259
216	0.3833673944
217	0.380975963
218	0.3790008198
219	0.3763527633
220	0.3749928474
221	0.3714210848
222	0.3701892834
223	0.3680207237
224	0.3656245267
225	0.362628141
226	0.3594826745
227	0.356470258
228	0.3542294344
229	0.3513626462
230	0.3487181569
231	0.3463693073
232	0.345236511
233	0.343403708
234	0.3410803449
235	0.3387789574
236	0.3365461243
237	0.3354069356
238	0.3326306559
239	0.3303856633
240	0.3279552203
241	0.3260030185
242	0.3235334961
243	0.3212797591
244	0.3186859595
245	0.3164475804
246	0.314414257
247	0.3131442307
248	0.3111025428
249	0.3083776046
250	0.3057255536
251	0.3034494386
252	0.3011539371
253	0.3001039052
254	0.2983279673
255	0.2963319664
256	0.2940840383
257	0.2917833133
258	0.28956352
259	0.2884329859
260	0.2873333199
261	0.2863088052
262	0.284173989
263	0.2821695906
264	0.2802264949
265	0.2781413363
266	0.276067712
267	0.2751785889
268	0.274064045
269	0.272672106
270	0.2702512121
271	0.2680341582
272	0.2673104066
273	0.2657971623
274	0.264997965
275	0.2637858494
276	0.2617942379
277	0.2596785274
278	0.257209752
279	0.2551476687
280	0.2530819486
281	0.2521054454
282	0.2502982613
283	0.2481082126
284	0.2464878288
285	0.2444074658
286	0.2427218654
287	0.2409470594
288	0.2396677817
289	0.2379285021
290	0.2359797279
291	0.2350901076
292	0.2330512518
293	0.2322387114
294	0.2303571681
295	0.2282106715
296	0.2266213164
297	0.2249574021
298	0.2242306003
299	0.2226583529
300	0.2208952532
301	0.2194467506
302	0.2182520639
303	0.2167011858
304	0.2158219299
305	0.2145030962
306	0.2138868339
307	0.2128591067
308	0.2110041276
309	0.2094313843
310	0.2077930644
311	0.2062707533
312	0.2056053543
313	0.204355485
314	0.2027911579
315	0.2022444662
316	0.201166323
317	0.1999763844
318	0.1991766241
319	0.1976603566
320	0.1960182053
321	0.1952340164
322	0.1945679712
323	0.1930153445
324	0.1920903105
325	0.1907770647
326	0.1900980112
327	0.1890483751
328	0.1886596752
329	0.1873527743
330	0.1859801776
331	0.1847560486
332	0.1843767524
333	0.1831356872
334	0.1821054113
335	0.1807616529
336	0.1797513274
337	0.1785362279
338	0.1776344135
339	0.177224926
340	0.1761099536
341	0.1758010453
342	0.1744986536
343	0.1738177122
344	0.172438659
345	0.1713068777
346	0.1698834035
347	0.1689839041
348	0.1686106144
349	0.1672069071
350	0.1660945189
351	0.1652719035
352	0.1642673499
353	0.1629937839
354	0.1626977836
355	0.1614108174
356	0.1608240667
357	0.1596309132
358	0.1581878948
359	0.1570602701
360	0.1567616052
361	0.1558642255
362	0.155286299
363	0.1542890419
364	0.1539854673
365	0.1537167291
366	0.1529686835
367	0.1517518543
368	0.1506766136
369	0.1496638832
370	0.1486315809
371	0.1477114905
372	0.1471540182
373	0.1462812449
374	0.1451828894
375	0.1446032494
376	0.1443911579
377	0.1438712618
378	0.1429817778
379	0.1422500826
380	0.1419860851
381	0.1410918125
382	0.1403501459
383	0.1401018516
384	0.1393413513
385	0.1387298038
386	0.1379541751
387	0.1373128717
388	0.1370726029
389	0.1364145868
390	0.1354220675
391	0.1345844025
392	0.1343510921
393	0.1336178162
394	0.1327041266
395	0.1316454717
396	0.1309067315
397	0.1299631549
398	0.1289856914
399	0.1279909259
400	0.1277922314
401	0.127135369
402	0.1262328214
403	0.125414668
404	0.1246332912
405	0.1239415992
406	0.1233400553
407	0.1229166209
408	0.1227130212
409	0.1221504455
410	0.1215356632
411	0.1207104955
412	0.1203678739
413	0.119734416
414	0.1188827727
415	0.1184610497
416	0.117947289
417	0.117367741
418	0.1168838889
419	0.1163647575
420	0.1157178097
421	0.1152962908
422	0.1149581344
423	0.1147357749
424	0.1140519559
425	0.1136214439
426	0.1131928175
427	0.1127563864
428	0.1123125135
429	0.1115630262
430	0.1108733002
431	0.1103285624
432	0.1096160985
433	0.1093194606
434	0.1085049503
435	0.1083241061
436	0.1076628611
437	0.1073814888
438	0.1068887766
439	0.1065123235
440	0.1062906531
441	0.1056473224
442	0.1050446392
443	0.1045766409
444	0.1039431176
445	0.1037253073
446	0.1033382454
447	0.1030361637
448	0.1029010511
449	0.1024799987
450	0.1021258132
451	0.1014544709
452	0.1010445894
453	0.1008297137
454	0.1006319124
455	0.1001583965
456	0.09957844624
457	0.09915982623
458	0.09875209022
459	0.09806258473
460	0.09773243491
461	0.09709253219
462	0.09646671454
463	0.0959938107
464	0.09576453082
465	0.09533759769
466	0.0952588166
467	0.09511605912
468	0.09444389273
469	0.09420665435
470	0.09383723005
471	0.09341234491
472	0.09313623062
473	0.09279114201
474	0.09225073114
475	0.09190469565
476	0.09159142927
477	0.09119776274
478	0.0910034012
479	0.09047213705
480	0.09010011435
481	0.08979311512
482	0.08934300118
483	0.08913172501
484	0.08876130997
485	0.08852072114
486	0.08815154158
487	0.08779727852
488	0.08760309457
489	0.08710730331
490	0.08694343593
491	0.0865249009
492	0.08617318118
493	0.08562552118
494	0.08539965647
495	0.0848509864
496	0.08445779139
497	0.08407864896
498	0.0837099322
499	0.08349654575
500	0.08301189957
501	0.08271681031
502	0.08230995133
503	0.0818823061
504	0.08157055758
505	0.08104879803
506	0.08087015851
507	0.08061572423
508	0.08046364083
509	0.07991915395
510	0.07954942068
511	0.07907054423
512	0.0787273408
513	0.07859826115
514	0.07826062318
515	0.0779294211
516	0.07756004017
517	0.07725123733
518	0.07712187947
519	0.07687759208
520	0.07678914481
521	0.07666918869
522	0.07654980365
523	0.0762666897
524	0.07612157384
525	0.07593474805
526	0.07555667642
527	0.07540615017
528	0.07524422756
529	0.0747951825
530	0.07468575418
531	0.07428975393
532	0.07419759627
533	0.07397863386
534	0.07365445503
535	0.07342598922
536	0.07332370845
537	0.0730679455
538	0.07273124079
539	0.07226145817
540	0.07179467969
541	0.07153669761
542	0.07113647731
543	0.07081843862
544	0.07064463079
545	0.0703675099
546	0.07011116967
547	0.06993709009
548	0.06971426822
549	0.06948576438
550	0.06930510918
551	0.06907244481
552	0.06872941671
553	0.06858552231
554	0.06832458118
555	0.06795712846
556	0.06770263036
557	0.06749086565
558	0.06725374658
559	0.06711770578
560	0.06682454008
561	0.06654230851
562	0.06634156759
563	0.06604948332
564	0.0658386357
565	0.06550171583
566	0.06533282547
567	0.06526313341
568	0.06487019017
569	0.0646552855
570	0.06437677081
571	0.0639450466
572	0.06358113196
573	0.06349329797
574	0.06333733572
575	0.06303154487
576	0.06274109726
577	0.0626891097
578	0.06231937232
579	0.06209442548
580	0.06187494431
581	0.06165771173
582	0.06134392577
583	0.06109166518
584	0.06091538754
585	0.06061190034
586	0.06049289067
587	0.06011814853
588	0.05980705249
589	0.0595334587
590	0.05941681814
591	0.05917132237
592	0.05888046292
593	0.05857756195
594	0.0585153997
595	0.05837896918
596	0.05834360316
597	0.05808396032
598	0.05782206611
599	0.0577055437
600	0.05746080629
601	0.0571691288
602	0.05697099698
603	0.05693761386
604	0.05676639303
605	0.05670411213
606	0.05665890005
607	0.05635667468
608	0.05607600401
609	0.05588816924
610	0.05572542759
611	0.05565473721
612	0.05551063027
613	0.05527862031
614	0.05508111833
615	0.05487878506
616	0.05484414246
617	0.05479561836
618	0.05477979286
619	0.05460354448
620	0.0543510349
621	0.05416365864
622	0.05404677973
623	0.05391696974
624	0.0538727756
625	0.05375561968
626	0.05355351761
627	0.05342199581
628	0.05339863873
629	0.05326493927
630	0.05302615274
631	0.05298041955
632	0.05294951899
633	0.05290242061
634	0.05283552663
635	0.05263697676
636	0.05244156817
637	0.05219220985
638	0.05209415992
639	0.05193734577
640	0.05190430049
641	0.05165152842
642	0.05134260056
643	0.05112741899
644	0.05092270454
645	0.05079951248
646	0.05051417238
647	0.0504953816
648	0.05040894403
649	0.05028589687
650	0.05016468384
651	0.05008145929
652	0.05006146278
653	0.05002836938
654	0.04998393155
655	0.04996594616
656	0.04977660402
657	0.04963036253
658	0.0495580026
659	0.0494996336
660	0.04936546831
661	0.04923686544
662	0.04905448601
663	0.04901805626
664	0.04897819436
665	0.0487952244
666	0.0487584127
667	0.04847065247
668	0.04844171561
669	0.04830716264
670	0.04811026431
671	0.04802836839
672	0.04800371188
673	0.04797327692
674	0.04795397672
675	0.04774797193
676	0.04767855956
677	0.0474411463
678	0.04723870346
679	0.04708550067
680	0.04707289771
681	0.04700922042
682	0.04688268989
683	0.04667151005
684	0.04652227913
685	0.04645818028
686	0.0462731074
687	0.04602308893
688	0.0458529953
689	0.04582119425
690	0.04578601559
691	0.0456629861
692	0.04564726627
693	0.04544757003
694	0.04521965845
695	0.04515435152
696	0.04505402867
697	0.04492037957
698	0.04472189373
699	0.04470595204
700	0.04450751572
701	0.04449572381
702	0.04446105925
703	0.04444364974
704	0.04442591646
705	0.04425454586
706	0.04424334983
707	0.04422287147
708	0.04402681218
709	0.04400758319
710	0.04390473228
711	0.04388452942
712	0.0438072099
713	0.04378759746
714	0.04353764951
715	0.04350785504
716	0.04336258595
717	0.04317172035
718	0.04300028942
719	0.04290216701
720	0.04277109743
721	0.04259483073
722	0.04246512725
723	0.04235037227
724	0.04216901145
725	0.04195297223
726	0.04178633297
727	0.04163218641
728	0.04156642061
729	0.04149924579
730	0.04147778061
731	0.04124774719
732	0.04123650901
733	0.04111323851
734	0.04096193657
735	0.04091861081
736	0.04078222678
737	0.04058428873
738	0.0404070093
739	0.04030754256
740	0.04012940135
741	0.04001636725
742	0.03987327111
743	0.03980270015
744	0.039785332
745	0.03977514334
746	0.03975478081
747	0.03967303387
748	0.03955439397
749	0.0394236091
750	0.03937205738
751	0.03934613811
752	0.03922949141
753	0.03920439868
754	0.03917077534
755	0.03915349272
756	0.03888764978
757	0.03879373045
758	0.03865524144
759	0.03847771261
760	0.03838155829
761	0.03822145767
762	0.0380101179
763	0.03788590039
764	0.03780959326
765	0.03778902655
766	0.03770383507
767	0.03755589275
768	0.03748399218
769	0.03728840579
770	0.03719554838
771	0.03710729942
772	0.03694699467
773	0.03682299146
774	0.03673067738
775	0.03662754566
776	0.03648699209
777	0.03635170178
778	0.03625536846
779	0.03622600305
780	0.03617608526
781	0.03600644619
782	0.03584237281
783	0.03570211847
784	0.03564988879
785	0.03552973491
786	0.03539600559
787	0.03532322307
788	0.03528909921
789	0.03514045981
790	0.03507899964
791	0.03506690265
792	0.03499605277
793	0.03497905777
794	0.03485699362
795	0.03479968523
796	0.03468508348
797	0.03451827887
798	0.03447455631
799	0.03441660253
800	0.0344037146
801	0.03430040529
802	0.03426017616
803	0.0342520858
804	0.03423767975
805	0.03415742331
806	0.03406056386
807	0.03396854892
808	0.03394291374
809	0.03389291834
810	0.03381207693
811	0.03376431429
812	0.03374811585
813	0.03371760269
814	0.03365718487
815	0.03350873203
816	0.03344203219
817	0.03339376316
818	0.03335519163
819	0.0333423267
820	0.03331894428
821	0.03330207338
822	0.03328149228
823	0.03312390922
824	0.03304428701
825	0.03291256978
826	0.03278264303
827	0.03266319156
828	0.03259134523
829	0.03249934652
830	0.0324137879
831	0.03238619345
832	0.03233825282
833	0.03226761619
834	0.0321942336
835	0.03211441746
836	0.03206587286
837	0.03194111041
838	0.03189718646
839	0.03174793792
840	0.0317185947
841	0.03170581902
842	0.03158291558
843	0.03156707359
844	0.03142966843
845	0.03137501375
846	0.03136136457
847	0.03131020351
848	0.03129920273
849	0.03127734439
850	0.03115511911
851	0.03114684536
852	0.03110555425
853	0.03096880405
854	0.03092293099
855	0.03086500922
856	0.03084769699
857	0.03078808105
858	0.03077707904
859	0.03076731015
860	0.03065015825
861	0.03061493394
862	0.03047290381
863	0.03035944286
864	0.03033345561
865	0.03032610874
866	0.03026347706
867	0.03022489444
868	0.03018060624
869	0.03013066472
870	0.03010261667
871	0.0299718663
872	0.02993866701
873	0.02983466666
874	0.029781067
875	0.02968921485
876	0.02959484774
877	0.0295057239
878	0.02942596312
879	0.02941095667
880	0.02934514364
881	0.02919017434
882	0.02915942436
883	0.02909744168
884	0.02898757306
885	0.02885608194
886	0.02873408868
887	0.02867258127
888	0.02865308742
889	0.02853325108
890	0.02852707685
891	0.02845264538
892	0.02841780271
893	0.02840671332
894	0.02839578578
895	0.02829260104
896	0.02827745675
897	0.02826055352
898	0.02814106485
899	0.02813156937
900	0.02810680875
901	0.02807376437
902	0.02796485345
903	0.02795836271
904	0.02783921643
905	0.0277827306
906	0.02775026039
907	0.02774370467
908	0.02772875964
909	0.02770070883
910	0.02758204592
911	0.02747525486
912	0.02743528563
913	0.02735428999
914	0.02722678047
915	0.02711061104
916	0.02702736719
917	0.02693499641
918	0.02688959644
919	0.02686377074
920	0.02684400805
921	0.02682100645
922	0.02679355563
923	0.02666834921
924	0.0266261832
925	0.02657859869
926	0.02648749813
927	0.02645449416
928	0.0264185157
929	0.02638136672
930	0.02627414311
931	0.02623203503
932	0.02618370641
933	0.02616093446
934	0.02614330939
935	0.02612200459
936	0.02611478693
937	0.02597964733
938	0.02592264994
939	0.025909589
940	0.02589134203
941	0.02582446655
942	0.02581021276
943	0.02576494558
944	0.02572753391
945	0.02569456407
946	0.02562181482
947	0.02560526039
948	0.02558711436
949	0.02558097126
950	0.02548477832
951	0.02541637232
952	0.02540653031
953	0.02536579746
954	0.02532929769
955	0.02531304069
956	0.025284675
957	0.02524930659
958	0.02519643535
959	0.02511316077
960	0.02510485137
961	0.02508420641
962	0.02505557285
963	0.02497122958
964	0.02496190813
965	0.02489731355
966	0.0248306044
967	0.0248042998
968	0.02479617053
969	0.02475889319
970	0.02465951429
971	0.02463315379
972	0.02453499033
973	0.02452017783
974	0.02451370882
975	0.02450604472
976	0.02447759899
977	0.02446870763
978	0.0244596645
979	0.02439764244
980	0.0243477011
981	0.02426326805
982	0.02425660922
983	0.02414580046
984	0.02413899374
985	0.02410801733
986	0.02410395952
987	0.02404711961
988	0.02396394653
989	0.02396003502
990	0.02395534573
991	0.02391843443
992	0.02388539895
993	0.02382560165
994	0.02381799347
995	0.0237396826
996	0.02365255923
997	0.02361000996
998	0.02350311258
999	0.02349380447
